r,dp
1.000000000000000056e-01,-1.228821934017340634e-01
2.000000000000000111e-01,-9.817593993121209728e-03
2.999999999999999889e-01,5.632095681997673076e-02
4.000000000000000222e-01,1.032470054154917272e-01
5.000000000000000000e-01,1.396456765023092461e-01
5.999999999999999778e-01,1.693855562285896399e-01
6.999999999999999556e-01,1.945302662585065845e-01
8.000000000000000444e-01,2.163116048241046085e-01
9.000000000000000222e-01,2.355241070416876359e-01
1.000000000000000000e+00,2.527102759109221553e-01
1.100000000000000089e+00,2.682570567409812701e-01
1.199999999999999956e+00,2.824501556372025490e-01
1.300000000000000044e+00,2.955065409656089104e-01
1.399999999999999911e+00,3.075948656671195214e-01
1.500000000000000000e+00,3.188488267240201512e-01
1.600000000000000089e+00,3.293762042327175177e-01
1.699999999999999956e+00,3.392651553418262189e-01
1.800000000000000044e+00,3.485887064503005450e-01
1.899999999999999911e+00,3.574080292225899624e-01
2.000000000000000000e+00,3.657748753195350644e-01
2.100000000000000089e+00,3.737334164802174619e-01
2.200000000000000178e+00,3.813216561495941237e-01
2.299999999999999822e+00,3.885725270598934245e-01
2.399999999999999911e+00,3.955147550458154582e-01
2.500000000000000000e+00,4.021735464063526111e-01
2.600000000000000089e+00,4.085711403742218195e-01
2.700000000000000178e+00,4.147272572633985410e-01
2.799999999999999822e+00,4.206594650757323750e-01
2.899999999999999911e+00,4.263834817470195104e-01
3.000000000000000000e+00,4.319134261326330604e-01
3.100000000000000089e+00,4.372620278237860370e-01
3.200000000000000178e+00,4.424408036413304268e-01
3.299999999999999822e+00,4.474602069626920642e-01
3.399999999999999911e+00,4.523297547504391281e-01
3.500000000000000000e+00,4.570581361625499772e-01
3.600000000000000089e+00,4.616533058589133987e-01
3.700000000000000178e+00,4.661225645209533530e-01
3.799999999999999822e+00,4.704726286312028716e-01
3.899999999999999911e+00,4.747096911873197600e-01
4.000000000000000000e+00,4.788394747281479180e-01
4.099999999999999645e+00,4.828672778112205188e-01
4.200000000000000178e+00,4.867980158888304265e-01
4.299999999999999822e+00,4.906362573737337307e-01
4.400000000000000355e+00,4.943862555582070328e-01
4.500000000000000000e+00,4.980519769457310009e-01
4.599999999999999645e+00,5.016371264685063336e-01
4.700000000000000178e+00,5.051451699927451688e-01
4.799999999999999822e+00,5.085793544544283673e-01
4.900000000000000355e+00,5.119427259187473433e-01
5.000000000000000000e+00,5.152381458149655202e-01
5.099999999999999645e+00,5.184683055635370685e-01
5.200000000000000178e+00,5.216357397828347287e-01
5.299999999999999822e+00,5.247428382378539480e-01
5.400000000000000355e+00,5.277918566720114502e-01
5.500000000000000000e+00,5.307849266450246351e-01
5.599999999999999645e+00,5.337240644843452841e-01
5.700000000000000178e+00,5.366111794443009231e-01
5.799999999999999822e+00,5.394480811556323641e-01
5.900000000000000355e+00,5.422364864382235305e-01
6.000000000000000000e+00,5.449780255412459695e-01




